id,text,human_category,human_urgency,source,notes
S001,某楼栋消防通道长期被私家车占用，晚上救护车进不来，希望社区协调,消防安全,高,模拟,命中消防通道高风险
S002,小区东门旁边垃圾桶满了两天没人清理，天气热味道很大,环境卫生,中,模拟,常见环境卫生诉求
S003,楼上夜里十一点以后还在装修，已经连续三天，希望帮忙协调,邻里纠纷,中,模拟,装修扰民
S004,某单元电动车在楼道里充电，居民担心起火,消防安全,高,模拟,电动车充电风险
S005,地下车库照明坏了好几盏，晚上走路不安全,设施维修,中,模拟,设施维修兼安全隐患
S006,小区健身器材螺丝松动，有老人差点摔倒,设施维修,中,模拟,公共设施隐患
S007,楼道里堆了很多纸箱和杂物，影响通行,消防安全,高,模拟,楼道堆物影响消防疏散
S008,绿化带里有积水和蚊虫，希望尽快处理,环境卫生,中,模拟,环境卫生
S009,某楼栋门禁坏了，陌生人可以随便进出,设施维修,中,模拟,门禁维修
S010,邻居家宠物晚上一直叫，影响孩子休息,邻里纠纷,中,模拟,邻里噪音
S011,小区主路井盖松动，车辆经过声音很大也不安全,设施维修,高,模拟,道路安全隐患
S012,楼下餐饮店油烟味很重，窗户都不敢开,环境卫生,中,模拟,环境扰民
S013,老人反映楼栋电梯经常卡顿，希望物业检查,设施维修,高,模拟,电梯安全
S014,公共楼道灯坏了一个星期，晚上老人上下楼不方便,设施维修,中,模拟,照明维修
S015,居民群里有人反映广场舞音响太大，晚上还在放音乐,邻里纠纷,中,模拟,公共噪音
S016,小区门口有人占道摆摊，早高峰堵住出入口,秩序管理,中,模拟,秩序维护
S017,地下室有明显异味，不知道是不是污水管漏了,环境卫生,中,模拟,卫生和维修交叉
S018,某楼栋外墙有瓷砖脱落，担心砸到行人,设施维修,高,模拟,高空坠物风险
S019,居民反映快递柜旁边长期堆放废纸箱，影响环境,环境卫生,低,模拟,低风险清理
S020,小区南门道闸坏了，车辆出入排队严重,设施维修,中,模拟,物业工程
S021,有人在楼顶私拉电线给设备充电，存在安全隐患,消防安全,高,模拟,私拉电线
S022,居民之间因为停车位发生争执，希望社区调解,邻里纠纷,中,模拟,纠纷调解
S023,雨后小区道路积水严重，老人出行不方便,环境卫生,中,模拟,积水处理
S024,儿童游乐区地垫破损，有孩子绊倒,设施维修,中,模拟,公共设施维修
S025,楼栋公告栏张贴混乱，旧通知一直没清理,环境卫生,低,模拟,低优先级治理
S026,物业维修电话一直打不通，居民投诉没人管,综合诉求,中,模拟,服务投诉
S027,小区地下车库有人堆放易燃杂物,消防安全,高,模拟,易燃杂物
S028,某单元下水道堵塞，污水外溢到楼道,环境卫生,高,模拟,卫生和维修高优先级
S029,居民希望社区发布周末消防通道清理提醒,通知生成,低,模拟,通知场景
S030,社区准备开展反诈宣传，需要一版适合居民群的通知,通知生成,低,模拟,通知场景
